TenantId,SourceSystem,TimeGenerated [Jerusalem],Computer,RawData,Variable2,Instance,AlertSeverity,TransactionCode,ABAPProgramName,AuditClassID_d,AlertSeverityText,TerminalIPv6,Variable1,Variable2,Variable3,Variable4,SAPProcesType,SAPWPName,SystemNumber,Host,Message,tags,Email,AlertSeverity_d,path,AlertValue_d,_timestamp_t [Jerusalem],_version,MessageContainerID,MonitoringObjectName,MessageClass,ClientID,MonitorShortName,SystemID,MonitorContextName,User,MessageID,MessageText,host,type
8ecf8077-cf51-4820-aadd-14040956f35d,RestAPI,"7/21/2021, 2:41:39.000 PM",,,,vhcala4hci_A4H_00,2,,CLEANUP_SECURITY_TOKENS,8,Low,,CLEANUP_SECURITY_TOKENS,,,,D0,0,0,vhcala4hci,,,,2,,,,,,,Report Start,0,,a4h,,SAPSYS,AUW,Report CLEANUP_SECURITY_TOKENS started,,
8ecf8077-cf51-4820-aadd-14040956f35d,RestAPI,"7/21/2021, 2:41:39.000 PM",,,,vhcala4hci_A4H_00,2,,OA2_CLEANUP_CTX,8,Low,,OA2_CLEANUP_CTX,,,,D0,0,0,vhcala4hci,,,,2,,,,,,,Report Start,0,,a4h,,SAPSYS,AUW,Report OA2_CLEANUP_CTX started,,
8ecf8077-cf51-4820-aadd-14040956f35d,RestAPI,"7/21/2021, 2:41:39.000 PM",,,,vhcala4hci_A4H_00,2,,RDYNABAPDELETE,8,Low,,RDYNABAPDELETE,,,,D0,0,0,vhcala4hci,,,,2,,,,,,,Report Start,0,,a4h,,SAPSYS,AUW,Report RDYNABAPDELETE started,,
8ecf8077-cf51-4820-aadd-14040956f35d,RestAPI,"7/21/2021, 2:41:39.000 PM",,,,vhcala4hci_A4H_00,2,,RSDSENQ,8,Low,,RSDSENQ,,,,D0,0,0,vhcala4hci,,,,2,,,,,,,Report Start,0,,a4h,,SAPSYS,AUW,Report RSDSENQ started,,
8ecf8077-cf51-4820-aadd-14040956f35d,RestAPI,"7/21/2021, 2:41:39.000 PM",,,,vhcala4hci_A4H_00,2,,RSRZLST0,8,Low,,RSRZLST0,,,,D0,0,0,vhcala4hci,,,,2,,,,,,,Report Start,0,,a4h,,SAPSYS,AUW,Report RSRZLST0 started,,
8ecf8077-cf51-4820-aadd-14040956f35d,RestAPI,"7/21/2021, 2:41:39.000 PM",,,,vhcala4hci_A4H_00,2,,RSSHM_CCMS_COLLECTOR,8,Low,,RSSHM_CCMS_COLLECTOR,,,,D0,0,0,vhcala4hci,,,,2,,,,,,,Report Start,0,,a4h,,SAPSYS,AUW,Report RSSHM_CCMS_COLLECTOR started,,
8ecf8077-cf51-4820-aadd-14040956f35d,RestAPI,"7/21/2021, 2:41:39.000 PM",,,,vhcala4hci_A4H_00,2,,RSUVM018,8,Low,,RSUVM018,,,,D0,0,0,vhcala4hci,,,,2,,,,,,,Report Start,0,,a4h,,SAPSYS,AUW,Report RSUVM018 started,,
8ecf8077-cf51-4820-aadd-14040956f35d,RestAPI,"7/21/2021, 2:41:39.000 PM",,,,vhcala4hci_A4H_00,2,,RS_AMDP_AUTOABAP,8,Low,,RS_AMDP_AUTOABAP,,,,D0,0,0,vhcala4hci,,,,2,,,,,,,Report Start,0,,a4h,,SAPSYS,AUW,Report RS_AMDP_AUTOABAP started,,
8ecf8077-cf51-4820-aadd-14040956f35d,RestAPI,"7/21/2021, 2:41:39.000 PM",,,,vhcala4hci_A4H_00,2,,RS_APP_SERVER_BUFFER_PRELOAD,8,Low,,RS_APP_SERVER_BUFFER_PRELOAD,,,,D0,0,0,vhcala4hci,,,,2,,,,,,,Report Start,0,,a4h,,SAPSYS,AUW,Report RS_APP_SERVER_BUFFER_PRELOAD started,,
8ecf8077-cf51-4820-aadd-14040956f35d,RestAPI,"7/21/2021, 2:41:39.000 PM",,,,vhcala4hci_A4H_00,2,,RS_BGRFC_SUPERVISOR,8,Low,,RS_BGRFC_SUPERVISOR,,,,D0,0,0,vhcala4hci,,,,2,,,,,,,Report Start,0,,a4h,,SAPSYS,AUW,Report RS_BGRFC_SUPERVISOR started,,
